Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Emerald,$568,0.34,Very Good,H,VS1,Jan 6
Emerald,$570,0.33,Very Good,F,IF,Jan 6
Emerald,$570,0.39,Very Good,H,VS2,Jan 6
Emerald,$578,0.35,Very Good,G,VS2,Jan 6
Emerald,$579,0.36,Very Good,G,VS2,Jan 6
Emerald,$579,0.33,Very Good,G,VS1,Jan 6
Emerald,$579,0.40,Very Good,G,VS2,Jan 6
Emerald,$580,0.50,Very Good,F,SI1,Jan 6
Emerald,$580,0.34,Very Good,G,VVS1,Jan 6
Emerald,$580,0.30,Very Good,F,VVS1,Jan 6
Emerald,$585,0.30,Very Good,E,VS1,Jan 6
Emerald,$587,0.36,Very Good,G,VS1,Jan 6
Emerald,$590,0.37,Very Good,G,VVS1,Jan 6
Emerald,$592,0.34,Very Good,E,IF,Jan 5
Emerald,$593,0.30,Very Good,D,VS1,Jan 6
Emerald,$593,0.35,Very Good,G,VS2,Jan 6
Emerald,$594,0.42,Very Good,D,SI1,Jan 6
Emerald,$600,0.50,Very Good,F,SI2,Jan 6
Emerald,$600,0.51,Very Good,F,SI2,Jan 6
Emerald,$604,0.31,Very Good,D,VVS1,Jan 6
Emerald,$604,0.31,Very Good,D,VVS1,Jan 6
Emerald,$605,0.35,Very Good,D,VVS2,Jan 6
Emerald,$609,0.32,Very Good,D,VVS1,Jan 6
Emerald,$610,0.38,Very Good,F,VVS2,Jan 6
Emerald,$610,0.40,Very Good,H,VS2,Jan 6
Emerald,$610,0.31,Very Good,E,VVS2,Jan 6
Emerald,$614,0.34,Very Good,H,VVS2,Jan 6
Emerald,$618,0.40,Very Good,J,VS1,Jan 6
Emerald,$618,0.37,Very Good,G,VS2,Jan 6
Emerald,$619,0.35,Very Good,G,VS2,Jan 6
Emerald,$620,0.36,Very Good,G,VS2,Jan 6
Emerald,$620,0.31,Very Good,D,VVS1,Jan 6
Emerald,$624,0.34,Very Good,H,VS1,Jan 6
Emerald,$625,0.30,Very Good,E,VVS1,Jan 5
Emerald,$627,0.35,Very Good,G,VS2,Jan 6
Emerald,$627,0.35,Very Good,G,VS2,Jan 6
Emerald,$630,0.52,Very Good,F,SI2,Jan 6
Emerald,$630,0.32,Very Good,E,VVS1,Jan 6
Emerald,$639,0.34,Very Good,G,VS1,Jan 6
Emerald,$640,0.40,Very Good,H,VS2,Jan 6
Emerald,$640,0.48,Very Good,E,SI1,Jan 6
Emerald,$640,0.50,Very Good,E,SI2,Jan 6
Emerald,$640,0.64,Very Good,I,SI2,Jan 6
Emerald,$644,0.40,Very Good,G,VS2,Jan 6
Emerald,$645,0.31,Very Good,E,VVS1,Jan 5
Emerald,$650,0.50,Very Good,E,SI2,Jan 6
Emerald,$650,0.50,Very Good,E,SI2,Jan 6
Emerald,$650,0.36,Very Good,E,IF,Jan 6
Emerald,$650,0.33,Very Good,E,VVS2,Jan 6
Emerald,$658,0.35,Very Good,G,VS2,Jan 6
Emerald,$660,0.50,Very Good,F,SI2,Jan 6
Emerald,$660,0.50,Very Good,H,SI2,Jan 6
Emerald,$660,0.50,Very Good,G,SI1,Jan 6
Emerald,$660,0.50,Very Good,J,SI1,Jan 6
Emerald,$666,0.32,Very Good,F,IF,Jan 5
Emerald,$670,0.40,Very Good,H,VS2,Jan 6
Emerald,$670,0.52,Very Good,H,SI1,Jan 6
Emerald,$670,0.50,Very Good,E,SI2,Jan 6
Emerald,$670,0.43,Very Good,G,VVS2,Jan 6
Emerald,$680,0.50,Very Good,G,SI2,Jan 6
Emerald,$680,0.51,Very Good,G,SI2,Jan 6
Emerald,$680,0.53,Very Good,F,SI2,Jan 6
Emerald,$680,0.41,Very Good,G,VVS1,Jan 6
Emerald,$686,0.40,Very Good,I,VVS2,Jan 6
Emerald,$690,0.50,Very Good,G,SI2,Jan 6
Emerald,$691,0.45,Very Good,I,VS2,Jan 6
Emerald,$693,0.40,Very Good,I,VS2,Jan 6
Emerald,$694,0.62,Very Good,J,SI2,Jan 6
Emerald,$694,0.34,Very Good,G,VVS2,Jan 6
Emerald,$696,0.36,Very Good,G,VS1,Jan 6
Emerald,$710,0.52,Very Good,F,SI2,Jan 6
Emerald,$710,0.50,Very Good,E,SI2,Jan 6
Emerald,$710,0.40,Very Good,H,VS1,Jan 6
Emerald,$713,0.50,Very Good,I,SI1,Jan 6
Emerald,$716,0.41,Very Good,G,SI1,Dec 30
Emerald,$720,0.51,Very Good,F,SI2,Jan 6
Emerald,$720,0.51,Very Good,F,SI1,Jan 6
Emerald,$720,0.52,Very Good,J,VS2,Jan 6
Emerald,$720,0.40,Very Good,G,VS1,Jan 6
Emerald,$721,0.40,Very Good,H,VVS2,Jan 6
Emerald,$723,0.50,Very Good,J,SI1,Jan 5
Emerald,$725,0.50,Very Good,J,VS2,Jan 6
Emerald,$730,0.51,Very Good,F,SI1,Jan 6
Emerald,$730,0.41,Very Good,D,SI1,Jan 6
Emerald,$731,0.33,Very Good,D,IF,Jan 5
Emerald,$737,0.44,Very Good,H,VS2,Jan 6
Emerald,$739,0.40,Very Good,E,VVS2,Jan 6
Emerald,$740,0.44,Very Good,E,VVS2,Jan 6
Emerald,$740,0.40,Very Good,E,VS1,Jan 6
Emerald,$740,0.61,Very Good,H,SI2,Jan 6
Emerald,$740,0.53,Very Good,F,SI2,Jan 6
Emerald,$742,0.35,Very Good,G,VVS2,Jan 6
Emerald,$744,0.40,Very Good,G,VS2,Jan 6
Emerald,$749,0.40,Very Good,H,VS2,Jan 6
Emerald,$749,0.40,Very Good,H,VS2,Jan 6
Emerald,$749,0.40,Very Good,H,VS2,Jan 6
Emerald,$750,0.53,Very Good,H,SI1,Jan 6
Emerald,$750,0.51,Very Good,E,SI2,Jan 6
Emerald,$750,0.40,Very Good,E,VVS1,Jan 6
Emerald,$750,0.40,Very Good,E,VVS1,Jan 6
Emerald,$750,0.42,Very Good,F,VVS1,Jan 6
Emerald,$750,0.50,Very Good,J,VS2,Jan 6
Emerald,$752,0.40,Very Good,D,VS1,Jan 6
Emerald,$763,0.44,Very Good,J,VVS2,Jan 6
Emerald,$763,0.50,Very Good,J,VS2,Jan 6
Emerald,$767,0.51,Very Good,J,VS1,Jan 6
Emerald,$770,0.51,Very Good,I,VS2,Jan 6
Emerald,$770,0.50,Very Good,H,SI1,Jan 6
Emerald,$777,0.40,Very Good,F,VVS2,Jan 6
Emerald,$778,0.50,Very Good,J,VS1,Jan 6
Emerald,$780,0.40,Very Good,F,VS2,Jan 6
